conflictid,location,sidea,sidea2nd,side b,sidebid,sideb2nd,incomp,terr,year,intensity,cumint,type,startdate,startprec,startdate2,startprec2,epend,ependdate,ependprec,gwnoa,gwnoa2nd,gwnob,gwnob2nd,gwnoloc,region,version
205,Iran,Government of Iran,,KDPI,164,,1,Kurdistan,1980,2,1,3,1946-05-31,3,1979-12-31,5,0,,,630,,,,630,2,17.1
205,Iran,Government of Iran,,KDPI,164,,1,Kurdistan,1981,1,1,3,1946-05-31,3,1979-12-31,5,0,,,630,,,,630,2,17.1
205,Iran,Government of Iran,,KDPI,164,,1,Kurdistan,1982,2,1,3,1946-05-31,3,1979-12-31,5,0,,,630,,,,630,2,17.1
205,Iran,Government of Iran,,KDPI,164,,1,Kurdistan,1983,1,1,3,1946-05-31,3,1979-12-31,5,0,,,630,,,,630,2,17.1
205,Iran,Government of Iran,,KDPI,164,,1,Kurdistan,1984,1,1,3,1946-05-31,3,1979-12-31,5,0,,,630,,,,630,2,17.1
205,Iran,Government of Iran,,KDPI,164,,1,Kurdistan,1985,1,1,3,1946-05-31,3,1979-12-31,5,0,,,630,,,,630,2,17.1
205,Iran,Government of Iran,,KDPI,164,,1,Kurdistan,1986,1,1,3,1946-05-31,3,1979-12-31,5,0,,,630,,,,630,2,17.1
205,Iran,Government of Iran,,KDPI,164,,1,Kurdistan,1987,1,1,3,1946-05-31,3,1979-12-31,5,0,,,630,,,,630,2,17.1
205,Iran,Government of Iran,,KDPI,164,,1,Kurdistan,1988,1,1,3,1946-05-31,3,1979-12-31,5,1,1988-12-31,5,630,,,,630,2,17.1
205,Iran,Government of Iran,,KDPI,164,,1,Kurdistan,1990,1,1,3,1946-05-31,3,1990-07-10,2,1,1990-08-17,2,630,,,,630,2,17.1
205,Iran,Government of Iran,,KDPI,164,,1,Kurdistan,1993,1,1,3,1946-05-31,3,1993-09-12,2,1,1993-11-11,1,630,,,,630,2,17.1
205,Iran,Government of Iran,,KDPI,164,,1,Kurdistan,1996,1,1,3,1946-05-31,3,1996-07-28,2,1,1996-07-28,2,630,,,,630,2,17.1
206,Iran,Government of Iran,,Republic of Azerbaijan,165,Government of Russia (Soviet Union),1,Azerbaijan,1946,1,0,4,1945-11-19,1,1946-12-16,5,1,1946-12-16,1,630,,,365,630,2,17.1
207,Israel,Government of United Kingdom,,IZL [Etzel],166,,1,Israel,1946,1,0,1,1939-03-31,4,1946-12-31,5,1,1946-12-31,5,200,,,,666,2,17.1
208,Laos,Government of France,,Lao Issara,167,,1,Laos,1946,1,0,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,17.1
208,Laos,Government of France,,Lao Issara,167,,1,Laos,1947,1,0,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,17.1
208,Laos,Government of France,,Lao Issara,167,,1,Laos,1948,1,0,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,17.1
208,Laos,Government of France,,Lao Issara,167,,1,Laos,1949,1,0,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,17.1
208,Laos,Government of France,,Lao Issara,167,,1,Laos,1950,1,1,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,17.1
208,Laos,Government of France,,Lao Issara,167,,1,Laos,1951,1,1,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,17.1
208,Laos,Government of France,,Lao Issara,167,,1,Laos,1952,1,1,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,17.1
208,Laos,Government of France,,Lao Issara,167,,1,Laos,1953,1,1,1,1946-03-31,4,1946-03-31,4,1,1953-12-31,5,220,,,,812,3,17.1
209,Philippines,Government of Philippines,,Huk,168,,2,,1946,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,Huk,168,,2,,1947,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,Huk,168,,2,,1948,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,Huk,168,,2,,1949,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,Huk,168,,2,,1950,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,Huk,168,,2,,1951,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,Huk,168,,2,,1952,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,Huk,168,,2,,1953,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,Huk,168,,2,,1954,2,1,3,1946-07-31,4,1946-07-31,4,1,1954-12-31,5,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1969,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1970,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1971,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1972,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1973,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1974,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1975,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1976,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1977,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1978,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1979,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1980,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1981,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1982,2,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1983,2,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1984,2,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1985,2,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1986,2,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,"CPP, Military faction (forces of Honasan, Abenina & Zumel)","169, 170",,2,,1987,2,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1988,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,"CPP, Military faction (forces of Honasan, Abenina & Zumel)","169, 170",,2,,1989,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,"CPP, Military faction (forces of Honasan, Abenina & Zumel)","169, 170",,2,,1990,2,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1991,2,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1992,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1993,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1994,1,1,3,1946-07-31,4,1969-09-30,4,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1995,1,1,3,1946-07-31,4,1969-09-30,4,1,1995-11-29,1,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1997,1,1,3,1946-07-31,4,1997-11-23,1,1,1997-12-30,3,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,1999,1,1,3,1946-07-31,4,1999-06-06,1,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,2000,1,1,3,1946-07-31,4,1999-06-06,1,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,2001,1,1,3,1946-07-31,4,1999-06-06,1,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,2002,1,1,3,1946-07-31,4,1999-06-06,1,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,2003,1,1,3,1946-07-31,4,1999-06-06,1,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,2004,1,1,3,1946-07-31,4,1999-06-06,1,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,2005,1,1,3,1946-07-31,4,1999-06-06,1,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,2006,1,1,3,1946-07-31,4,1999-06-06,1,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,2007,1,1,3,1946-07-31,4,1999-06-06,1,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,2008,1,1,3,1946-07-31,4,1999-06-06,1,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,2009,1,1,3,1946-07-31,4,1999-06-06,1,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,2010,1,1,3,1946-07-31,4,1999-06-06,1,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,2011,1,1,3,1946-07-31,4,1999-06-06,1,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,2012,1,1,3,1946-07-31,4,1999-06-06,1,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,2013,1,1,3,1946-07-31,4,1999-06-06,1,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,2014,1,1,3,1946-07-31,4,1999-06-06,1,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,2015,1,1,3,1946-07-31,4,1999-06-06,1,0,,,840,,,,840,3,17.1
209,Philippines,Government of Philippines,,CPP,169,,2,,2016,1,1,3,1946-07-31,4,1999-06-06,1,1,2016-08-20,1,840,,,,840,3,17.1
210,Russia (Soviet Union),Government of Russia (Soviet Union),,Forest Brothers,171,,1,Estonia,1946,1,0,3,1944-12-31,6,1946-12-31,5,0,,,365,,,,365,1,17.1
210,Russia (Soviet Union),Government of Russia (Soviet Union),,Forest Brothers,171,,1,Estonia,1947,1,1,3,1944-12-31,6,1946-12-31,5,0,,,365,,,,365,1,17.1
210,Russia (Soviet Union),Government of Russia (Soviet Union),,Forest Brothers,171,,1,Estonia,1948,1,1,3,1944-12-31,6,1946-12-31,5,1,1948-12-31,5,365,,,,365,1,17.1
211,Russia (Soviet Union),Government of Russia (Soviet Union),,"LNPA, LTS(p)A","172, 173",,1,Latvia,1946,1,0,3,1945-12-31,6,1946-12-31,5,1,1946-12-31,5,365,,,,365,1,17.1
212,Russia (Soviet Union),Government of Russia (Soviet Union),,BDPS,174,,1,Lithuania,1946,2,1,3,1946-06-30,4,1946-06-30,4,0,,,365,,,,365,1,17.1
212,Russia (Soviet Union),Government of Russia (Soviet Union),,BDPS,174,,1,Lithuania,1947,2,1,3,1946-06-30,4,1946-06-30,4,0,,,365,,,,365,1,17.1
212,Russia (Soviet Union),Government of Russia (Soviet Union),,BDPS,174,,1,Lithuania,1948,1,1,3,1946-06-30,4,1946-06-30,4,1,1948-12-31,5,365,,,,365,1,17.1
213,Russia (Soviet Union),Government of Russia (Soviet Union),,UPA,175,,1,Ukraine,1946,2,1,3,1941-12-31,5,1946-12-31,5,0,,,365,,,,365,1,17.1
213,Russia (Soviet Union),Government of Russia (Soviet Union),,UPA,175,,1,Ukraine,1947,2,1,3,1941-12-31,5,1946-12-31,5,0,,,365,,,,365,1,17.1
213,Russia (Soviet Union),Government of Russia (Soviet Union),,UPA,175,,1,Ukraine,1948,2,1,3,1941-12-31,5,1946-12-31,5,0,,,365,,,,365,1,17.1
213,Russia (Soviet Union),Government of Russia (Soviet Union),,UPA,175,,1,Ukraine,1949,1,1,3,1941-12-31,5,1946-12-31,5,0,,,365,,,,365,1,17.1
213,Russia (Soviet Union),Government of Russia (Soviet Union),,UPA,175,,1,Ukraine,1950,1,1,3,1941-12-31,5,1946-12-31,5,1,1950-12-31,5,365,,,,365,1,17.1
214,"France, Thailand",Government of France,,Government of Thailand,147,,1,Northern Cambodia,1946,1,0,2,1946-05-07,1,1946-05-07,1,1,1946-11-17,1,220,,800,,"220, 800","1, 3",17.1
215,"Albania, United Kingdom",Government of Albania,,Government of United Kingdom,28,,1,Korfu Channel,1946,1,0,2,1946-10-22,1,1946-10-22,1,1,1946-12-31,5,339,,200,,"200, 339",1,17.1
216,Vietnam (North Vietnam),Government of France,,Viet minh,176,,1,Vietnam,1946,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,17.1
216,Vietnam (North Vietnam),Government of France,,Viet minh,176,,1,Vietnam,1947,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,17.1
216,Vietnam (North Vietnam),Government of France,,Viet minh,176,,1,Vietnam,1948,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,17.1
216,Vietnam (North Vietnam),Government of France,,Viet minh,176,,1,Vietnam,1949,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,17.1
216,Vietnam (North Vietnam),Government of France,,Viet minh,176,,1,Vietnam,1950,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,17.1
216,Vietnam (North Vietnam),Government of France,,Viet minh,176,,1,Vietnam,1951,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,17.1
216,Vietnam (North Vietnam),Government of France,,Viet minh,176,,1,Vietnam,1952,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,17.1
216,Vietnam (North Vietnam),Government of France,,Viet minh,176,,1,Vietnam,1953,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,17.1
216,Vietnam (North Vietnam),Government of France,,Viet minh,176,,1,Vietnam,1954,2,1,1,1946-11-20,1,1946-11-20,1,1,1954-07-20,1,220,,,,816,3,17.1
217,China,Government of China,,Taiwanese insurgents,177,,1,Taiwan,1947,2,1,3,1947-02-28,1,1947-02-28,1,1,1947-03-24,1,710,,,,710,3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,1948,2,1,2,1948-12-31,5,1948-12-31,5,1,1948-12-31,1,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,1964,1,1,2,1948-12-31,5,1964-12-31,5,0,,,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,1965,2,1,2,1948-12-31,5,1964-12-31,5,1,1965-12-15,1,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,1971,2,1,2,1948-12-31,5,1971-12-03,1,1,1971-12-17,3,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,1984,1,1,2,1948-12-31,5,1984-12-31,5,1,1984-12-31,5,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,1987,1,1,2,1948-12-31,5,1987-12-31,5,1,1987-12-31,5,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,1989,1,1,2,1948-12-31,5,1989-12-31,5,0,,,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,1990,1,1,2,1948-12-31,5,1989-12-31,5,0,,,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,1991,1,1,2,1948-12-31,5,1989-12-31,5,0,,,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,1992,1,1,2,1948-12-31,5,1989-12-31,5,1,1992-12-31,5,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,1996,1,1,2,1948-12-31,5,1996-12-31,5,0,,,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,1997,1,1,2,1948-12-31,5,1996-12-31,5,0,,,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,1998,1,1,2,1948-12-31,5,1996-12-31,5,0,,,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,1999,1,1,2,1948-12-31,5,1996-12-31,5,0,,,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,2000,1,1,2,1948-12-31,5,1996-12-31,5,0,,,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,2001,1,1,2,1948-12-31,5,1996-12-31,5,0,,,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,2002,1,1,2,1948-12-31,5,1996-12-31,5,0,,,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,2003,1,1,2,1948-12-31,5,1996-12-31,5,1,2003-11-22,1,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,2014,1,1,2,1948-12-31,5,2014-10-06,2,0,,,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,2015,1,1,2,1948-12-31,5,2014-10-06,2,0,,,750,,770,,"750, 770",3,17.1
218,"India, Pakistan",Government of India,,Government of Pakistan,142,,1,Kashmir,2016,1,1,2,1948-12-31,5,2014-10-06,2,1,2016-12-30,1,750,,770,,"750, 770",3,17.1
219,Madagascar (Malagasy),Government of France,,MDRM,179,,1,Malagasy,1947,2,1,1,1947-03-29,1,1947-03-29,1,1,1947-12-31,5,220,,,,580,4,17.1
220,Paraguay,Government of Paraguay,,"Opposition coalition (Febreristas, Liberals and Communists)",722,,2,,1947,2,1,3,1947-03-07,2,1947-03-31,4,1,1947-08-21,1,150,,,,150,5,17.1
220,Paraguay,Government of Paraguay,,Military faction (forces of Alfredo Stroessner),723,,2,,1954,1,1,3,1947-03-07,2,1954-05-05,1,1,1954-05-05,1,150,,,,150,5,17.1
220,Paraguay,Government of Paraguay,,Military faction (forces of Andres Rodriguez),724,,2,,1989,1,1,3,1947-03-07,2,1989-02-03,1,1,1989-02-03,1,150,,,,150,5,17.1
221,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,890,,1,Karen,1949,2,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,17.1
221,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,890,,1,Karen,1950,2,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,17.1
221,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,890,,1,Karen,1951,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,17.1
221,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,890,,1,Karen,1952,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,17.1
221,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,890,,1,Karen,1953,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,17.1
221,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,890,,1,Karen,1954,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,17.1
221,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,890,,1,Karen,1955,2,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,17.1
221,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,890,,1,Karen,1956,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,17.1
221,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,890,,1,Karen,1957,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,17.1
221,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,890,,1,Karen,1958,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,17.1
221,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,890,,1,Karen,1959,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,17.1
221,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,890,,1,Karen,1960,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,17.1
221,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,890,,1,Karen,1961,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,17.1
221,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,890,,1,Karen,1962,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,17.1
221,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,890,,1,Karen,1963,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,17.1
221,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,890,,1,Karen,1964,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,17.1
221,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,890,,1,Karen,1965,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,17.1
