new_id,old_id,name,type_of_violence
461,304,Government of Myanmar (Burma) - KIO,1
462,608,Government of China - Government of Taiwan,1
463,621,Government of Guatemala - Military faction,1
464,622,Government of Guatemala - Forces of Carlos Castillo Armas,1
465,624,Government of Guatemala - FAR I,1
466,694,Government of Guatemala - FAR II,1
467,625,Government of Guatemala - EGP,1
468,627,Government of Guatemala - ORPA,1
469,228,Government of Guatemala - URNG,1
470,695,Government of Israel - Palestinian insurgents,1
471,696,Government of Israel - Non PLO groups,1
472,781,Government of Israel - PLO,1
473,780,Government of Israel - Rejectionist Front,1
474,419,Government of Israel - PFLP,1
475,428,Government of Israel - PFLP-GC,1
476,377,Government of Israel - Fatah,1
477,381,Government of Israel - Hamas,1
478,380,Government of Israel - PIJ,1
479,427,Government of Israel - PNA,1
480,426,Government of Israel - AMB,1
481,629,Government of Israel - PRC,1
482,618,Government of North Korea - Government of South Korea,1
483,606,Government of China - Tibet,1
484,605,Government of Indonesia - Republic of South Moluccas,1
485,698,Government of United States of America - Puerto Rican Nationalist Party,1
486,604,Government of Egypt - Government of United Kingdom,1
487,598,Government of Thailand - Military faction (navy),1
488,599,Government of Thailand - CPT,1
489,699,Government of United Kingdom - Mau Mau,1
490,600,Government of Cuba - M-26-7,1
491,602,Government of Cuba - Cuban Revolutionary Council,1
492,595,Government of Indonesia - Darul Islam,1
493,752,Government of Indonesia - Permesta Movement,1
494,596,Government of Indonesia - PRRI,1
495,702,Government of France - Istiqlal,1
496,705,Government of France - National Liberation Army,1
497,707,Government of France - FLN,1
498,709,Government of France - MNA,1
499,590,Government of Argentina - Military faction (forces of Eduardo A. Lonardi Doucet),1
500,810,Government of Argentina - Military faction (forces of Samuel Toranzo Caldern),1
501,592,Government of Argentina - Military faction (colorados),1
502,594,Government of Argentina - ERP,1
503,593,Government of Argentina - Montoneros,1
504,710,Government of United Kingdom - EOKA,1
505,614,Government of South Vietnam - FNL,1
506,603,Government of Hungary - Government of Russia (Soviet Union),1
507,711,Government of India - NNC,1
508,286,Government of India - NSCN-IM,1
509,453,Government of India - NSCN-K,1
510,620,"Government of Egypt - France, Israel, United Kingdom",1
511,311,Government of Myanmar (Burma) - KNPP,1
512,713,Government of France - UPC,1
513,591,Government of Honduras - Government of Nicaragua,1
514,715,Government of France - NLA,1
515,716,Government of Spain - NLA,1
516,607,Government of Oman - State of Oman/Free Oman,1
517,717,Government of Iraq - Military faction (free Officers Movement),1
518,718,Government of Iraq - Military faction (forces of Abdul Wahab al-Shawaf),1
519,719,Government of Iraq - Military faction (forces of Abd as-Salam Arif),1
520,720,Government of Iraq - NCRC,1
521,298,Government of Iraq - SCIRI,1
523,443,Government of Iraq - Ansar al-Islam,1
524,448,Government of Iraq - IS,1
525,578,Government of Iraq - RJF,1
526,570,Government of Lebanon - Independent Nasserite Movement,1
527,722,Government of Lebanon - NSF,1
528,723,Government of Lebanon - LAA,1
529,724,Government of Lebanon - Amal,1
530,725,Government of Lebanon - NUF,1
531,726,Government of Lebanon - Lebanese Forces - Hobeika faction,1
532,376,Government of Lebanon - Forces of Michel Aoun,1
533,383,Government of Lebanon - Lebanese Forces,1
534,585,Government of Malaysia - CPM,1
535,734,Government of Laos - Pathet Lao,1
536,736,Government of Laos - Neutralists,1
537,382,Government of Laos - LRM,1
538,739,Government of Portugal - FNLA,1
539,738,Government of Portugal - MPLA,1
540,740,Government of Portugal - UNITA,1
541,742,Government of Myanmar (Burma) - NSH,1
542,743,Government of Myanmar (Burma) - SSIA,1
543,744,Government of Myanmar (Burma) - SNUF,1
544,746,Government of Myanmar (Burma) - SSA,1
545,748,Government of Myanmar (Burma) - SSNLO,1
546,747,Government of Myanmar (Burma) - SURA,1
547,750,Government of Myanmar (Burma) - SSRA,1
548,751,Government of Myanmar (Burma) - TRC,1
549,308,Government of Myanmar (Burma) - MTA,1
550,307,Government of Myanmar (Burma) - RCSS,1
551,587,Government of DR Congo (Zaire) - State of Katanga,1
552,588,Government of DR Congo (Zaire) - Independent Mining State of South Kasai,1
553,755,Government of Ethiopia - Military faction (forces of Mengistu Neway),1
554,50,Government of Ethiopia - EPRP,1
555,46,Government of Ethiopia - TPLF,1
556,754,Government of Ethiopia - EDU,1
557,47,Government of Ethiopia - EPDM,1
558,48,Government of Ethiopia - EPRDF,1
559,49,Government of Ethiopia - Military faction (forces of Amsha Desta and Merid Negusie),1
560,589,Government of Ethiopia - Government of Somalia,1
561,652,Government of Nepal - NC,1
562,349,Government of Nepal - CPN-M,1
563,584,Government of France - OAS,1
564,279,Government of Iraq - KDP,1
565,285,Government of Iraq - PUK,1
566,653,Government of Iraq - KDP-QM,1
567,609,Government of France - Government of Tunisia,1
568,655,Government of United Kingdom - North Kalimantan Liberation Army,1
569,613,Government of China - Government of India,1
570,667,Government of Ethiopia - ELF,1
571,53,Government of Ethiopia - EPLF,1
572,612,Government of Indonesia - Government of Netherlands,1
573,672,Government of Venezuela - Military faction (navy),1
574,778,Government of Venezuela - Bandera Roja,1
575,475,Government of Venezuela - Military faction (forces of Hugo Chvez),1
576,611,Government of Algeria - Government of Morocco,1
577,675,Government of Portugal - PAIGC,1
578,586,Government of Malaysia - CCO,1
579,610,Government of Indonesia - Government of Malaysia,1
580,676,Government of Sudan - SSLM,1
581,679,Government of DR Congo (Zaire) - CNL,1
582,680,Government of DR Congo (Zaire) - Military Faction (Forces of Jean Schramme),1
583,681,Government of DR Congo (Zaire) - FLNC,1
584,39,Government of DR Congo (Zaire) - AFDL,1
585,41,Government of DR Congo (Zaire) - MLC,1
586,40,Government of DR Congo (Zaire) - RCD,1
587,42,Government of DR Congo (Zaire) - RCD-ML,1
588,646,Government of DR Congo (Zaire) - CNDP,1
589,583,Government of Gabon - Military faction (forces loyal to Lon M'Ba),1
590,685,Government of Portugal - Frelimo,1
591,686,Government of United Kingdom - FLOSY,1
592,485,Government of Burundi - Military faction (forces loyal to Gervais Nyangoma),1
593,11,Government of Burundi - Palipehutu,1
594,12,Government of Burundi - CNDD,1
595,13,Government of Burundi - Frolina,1
596,15,Government of Burundi - Palipehutu-FNL,1
597,14,Government of Burundi - CNDD-FDD,1
598,656,Government of Chad - Frolinat,1
599,658,Government of Chad - First Liberation Army,1
600,659,Government of Chad - Second Liberation Army,1
601,660,Government of Chad - FAN,1
602,661,Government of Chad - FAP,1
603,662,Government of Chad - FAT,1
604,663,Government of Chad - GUNT,1
605,664,Government of Chad - CDR,1
606,20,Government of Chad - Islamic Legion,1
607,19,Government of Chad - MOSANAT,1
608,18,Government of Chad - Revolutionary Forces of 1 April,1
609,23,Government of Chad - MPS,1
610,25,Government of Chad - MDD,1
611,777,Government of Chad - Military faction (forces of Maldoum Bada Abbas),1
612,22,Government of Chad - CNR,1
613,21,Government of Chad - CSNPD,1
614,24,Government of Chad - FNT,1
615,26,Government of Chad - FARF,1
616,27,Government of Chad - MDJT,1
617,455,Government of Chad - FUCD,1
618,633,Government of Chad - RAFD,1
619,634,Government of Chad - UFDD,1
620,767,Government of Chad - AN,1
621,783,Government of Chad - UFR,1
622,807,Government of Chad - PFNR,1
623,237,Government of Colombia - FARC,1
624,342,Government of Colombia - ELN,1
625,495,Government of Colombia - M-19,1
626,343,Government of Colombia - EPL,1
627,493,Government of Dominican Republic - Military faction (constitutionalists),1
628,498,Government of Indonesia - OPM,1
629,500,Government of Peru - ELN,1
630,499,Government of Peru - MIR,1
631,235,Government of Peru - Sendero Luminoso,1
632,319,Government of Peru - MRTA,1
633,803,Government of South Vietnam - Government of Vietnam (North Vietnam),1
634,517,Government of Cambodia (Kampuchea) - Government of Thailand,1
635,502,Government of Ghana - NLC,1
636,503,Government of Ghana - Military faction (forces of Jerry John Rawlings),1
637,504,Government of Ghana - Military faction (forces of Ekow Dennis and Edward Adjei-Ampofo),1
638,505,Government of India - MNF,1
639,494,Government of Nigeria - Military faction (forces of Patrick Nzeogwu),1
640,793,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1
641,516,Government of South Africa - SWAPO,1
642,518,Government of Syria - Military faction (forces loyal to Nureddin Atassi and Youssef Zeayen),1
643,519,Government of Syria - Muslim Brotherhood,1
644,364,Government of Cambodia (Kampuchea) - KR,1
645,553,Government of Cambodia (Kampuchea) - KNUFNS,1
646,378,Government of Cambodia (Kampuchea) - KPNLF,1
647,379,Government of Cambodia (Kampuchea) - FUNCINPEC,1
648,530,Government of Israel - Government of Jordan,1
649,531,Government of Israel - Government of Syria,1
650,528,Government of Nigeria - Republic of Biafra,1
651,532,Government of China - Government of Myanmar (Burma),1
652,533,Government of China - Government of Russia (Soviet Union),1
653,534,Government of El Salvador - Government of Honduras,1
654,57,Government of Guinea - RFDG,1
655,507,Government of Philippines - MIM,1
656,247,Government of Philippines - MNLF,1
657,242,Government of Philippines - MILF,1
658,249,Government of Philippines - ASG,1
659,252,Government of Philippines - MNLF - NM,1
660,647,Government of Philippines - MNLF - HM,1
661,520,Government of Sudan - Sudanese Communist Party,1
662,521,Government of Sudan - Islamic Charter Front,1
663,641,Government of Sudan - SPLM/A,1
664,645,Government of Sudan - NDA,1
665,434,Government of Sudan - JEM,1
666,433,Government of Sudan - SLM/A,1
667,630,Government of Sudan - NRF,1
668,631,Government of Sudan - SLM/A - MM,1
669,648,Government of Sudan - SLM/A-Unity,1
670,808,Government of Sudan - SSDM/A,1
671,540,Government of Madagascar - Monima,1
672,541,Government of Morocco - Military faction (forces of Mohamed Madbouh),1
673,542,Government of Pakistan - Mukti Bahini,1
674,256,Government of Sri Lanka - JVP,1
675,554,Government of Uganda - Military faction (forces of Idi Amin),1
676,700,Government of Uganda - Kikosi Maalum,1
677,555,Government of Uganda - Military faction (forces of Charles Arube),1
678,701,Government of Uganda - Fronasa,1
679,556,Government of Uganda - UNLF,1
680,703,Government of Uganda - FUNA,1
681,574,Government of Uganda - NRA,1
682,704,Government of Uganda - UNRF,1
683,575,Government of Uganda - UFM,1
684,149,Government of Uganda - HSM,1
685,706,Government of Uganda - UPDA,1
686,148,Government of Uganda - UPA,1
687,708,Government of Uganda - Lord's Army,1
688,151,Government of Uganda - LRA,1
689,153,Government of Uganda - ADF,1
690,152,Government of Uganda - WNBF,1
691,431,Government of Uganda - UNRF II,1
692,216,Government of United Kingdom - PIRA,1
693,248,Government of United Kingdom - RIRA,1
694,514,Government of El Salvador - Military faction (forces of Benjamin Mejia),1
695,510,Government of El Salvador - ERP,1
696,508,Government of El Salvador - FPL,1
697,225,Government of El Salvador - FMLN,1
698,561,Government of Oman - PFLO,1
699,565,Government of Zimbabwe (Rhodesia) - ZAPU,1
700,560,Government of Zimbabwe (Rhodesia) - ZANU,1
701,712,Government of Zimbabwe (Rhodesia) - PF,1
702,491,Government of Uruguay - MLN/Tupamaros,1
703,563,Government of South Yemen - Government of Yemen (North Yemen),1
704,490,"Government of Chile - Military faction (forces of Augusto Pinochet, Toribio Merino and Leigh Guzman)",1
705,223,Government of Bangladesh - JSS/SB,1
706,492,Government of Cyprus - Government of Turkey,1
707,543,Government of Iran - Government of Iraq,1
708,544,Government of Pakistan - BLF,1
709,639,Government of Pakistan - BLA,1
710,638,Government of Pakistan - Baloch Ittehad,1
711,774,Government of Pakistan - BRA,1
712,435,Government of Eritrea - EIJM - AS,1
713,568,Government of Angola - FNLA,1
714,7,Government of Angola - UNITA,1
715,545,Government of Cambodia (Kampuchea) - Government of Vietnam (North Vietnam),1
716,792,Government of Ethiopia - Ogaden Liberation Front,1
717,522,Government of Ethiopia - WSLF,1
718,283,Government of Ethiopia - AIAI,1
719,54,Government of Ethiopia - ONLF,1
720,344,Government of Indonesia - Fretilin,1
721,98,Government of Morocco - POLISARIO,1
722,99,Government of Mozambique - Renamo,1
723,727,Government of Afghanistan - PDPA,1
724,411,Government of Afghanistan - Jam'iyyat-i Islami-yi Afghanistan,1
725,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan,1
726,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,1
727,760,Government of Afghanistan - Hizb-i Islami-yi Afghanistan - Khalis faction,1
728,733,Government of Afghanistan - Jabha-yi Nijat-i Milli-yi Afghanistan,1
729,732,Government of Afghanistan - Mahaz-i Milli-yi Islami-yi Afghanistan,1
730,735,Government of Afghanistan - Ittihad-i Islami Bara-yi Azadi-yi Afghanistan,1
731,737,Government of Afghanistan - Harakat-i Islami-yi Afghanistan,1
732,413,Government of Afghanistan - Hizb-i Wahdat,1
733,476,Government of Afghanistan - Military faction (forces of Shahnawaz Tanay),1
734,422,Government of Afghanistan - Junbish-i Milli-yi Islami,1
735,327,Government of Afghanistan - Taleban,1
736,423,Government of Afghanistan - UIFSA,1
737,550,Government of China - Government of Vietnam (North Vietnam),1
738,515,Government of India - TNV,1
739,262,Government of India - ATTF,1
740,269,Government of India - NLFT,1
741,567,Government of Nicaragua - FSLN,1
742,231,Government of Nicaragua - Contras/FDN,1
743,209,Government of Somalia - SSDF,1
744,207,Government of Somalia - SNM,1
745,208,Government of Somalia - SPM,1
746,210,Government of Somalia - USC/SSA,1
747,211,Government of Somalia - USC/SNA,1
748,212,Government of Somalia - SRRC,1
749,632,Government of Somalia - ARS/UIC,1
750,770,Government of Somalia - Al-Shabaab,1
751,771,Government of Somalia - Harakat Ras Kamboni,1
752,804,Government of Somalia - Hizbul Islam,1
753,246,Government of Iran - MEK,1
754,459,Government of Iran - PJAK,1
755,640,Government of Iran - Jondullah,1
756,546,Government of Iran - APCO,1
757,548,Government of Saudi Arabia - JSM,1
758,525,Government of Liberia - Military faction (forces of Samuel Doe),1
759,93,Government of Liberia - NPFL,1
760,94,Government of Liberia - INPFL,1
761,95,Government of Liberia - LURD,1
762,352,Government of Liberia - MODEL,1
763,366,Government of Spain - ETA,1
764,551,Government of Tunisia - Rsistance Arme Tunisienne,1
765,547,Government of Gambia - NRC,1
766,558,Government of South Africa - ANC,1
767,489,Government of Argentina - Government of United Kingdom,1
768,325,Government of India - PLA,1
769,336,Government of India - UNLF,1
770,764,Government of India - KCP,1
771,766,Government of India - PREPAK,1
772,536,Government of Kenya - Military faction (forces of Hezekiah Ochuka),1
773,535,Government of Chad - Government of Nigeria,1
774,573,Government of Grenada - Government of United States of America,1
775,387,Government of India - Sikh insurgents,1
776,243,Government of Sri Lanka - LTTE,1
777,526,Government of Sri Lanka - TELO,1
778,687,Government of Sri Lanka - EPRLF,1
779,692,Government of Cameroon - UPC,1
780,539,Government of Cameroon - Military faction (forces of Ibrahim Saleh),1
781,333,Government of Turkey - PKK,1
782,538,Government of Burkina Faso - Government of Mali,1
783,537,Government of Laos - Government of Thailand,1
784,559,Government of Suriname - SLA,1
785,471,Government of Togo - MTD,1
786,564,Government of South Yemen - Yemenite Socialist Party - Abdul Fattah Ismail faction,1
787,487,Government of Burkina Faso - Popular Front,1
788,486,Government of Chad - Government of Libya,1
789,158,Government of Comoros - Presidential guard,1
790,51,Government of Ethiopia - ALF,1
791,52,Government of Ethiopia - ARDUF,1
792,355,Government of India - Kashmir insurgents,1
793,296,Government of India - ULFA,1
794,347,Government of Indonesia - GAM,1
795,461,Government of Panama - Military faction (forces of Moiss Giroldi),1
796,233,Government of Panama - Government of United States of America,1
797,337,Government of Papua New Guinea - BRA,1
798,357,Government of Rumania - NSF,1
799,320,Government of Iraq - Government of Kuwait,1
800,96,Government of Mali - MPA,1
801,97,Government of Mali - FIAA,1
802,650,Government of Mali - ATNMC,1
803,111,Government of Niger - CRA,1
804,127,Government of Rwanda - FPR,1
805,128,Government of Rwanda - ALiR,1
806,129,Government of Senegal - MFDC,1
807,370,Government of Russia (Soviet Union) - Republic of Armenia,1
808,373,Government of Russia (Soviet Union) - APF,1
809,219,Government of Trinidad and Tobago - Jamaat al-Muslimeen,1
810,43,Government of Djibouti - FRUD,1
811,44,Government of Djibouti - FRUD - AD,1
812,239,Government of Georgia - National Guard and Mkhedrioni,1
813,289,Government of Georgia - Zviadists,1
814,244,Government of Haiti - Military faction (forces of Himmler Rebu and Guy Francois),1
815,251,Government of Haiti - Military faction (forces of Raol Cdras),1
816,440,Government of Haiti - FLRN,1
817,441,Government of Haiti - OP Lavalas (Chimres),1
818,130,Government of Sierra Leone - RUF,1
819,131,Government of Sierra Leone - AFRC,1
820,132,Government of Sierra Leone - Kamajors,1
821,714,Government of Sierra Leone - WSB,1
822,330,Government of Turkey - Devrimci Sol,1
823,457,Government of Turkey - MKP,1
824,281,Government of Serbia (Yugoslavia) - Republic of Slovenia,1
825,273,Government of Serbia (Yugoslavia) - Croatian irregulars,1
826,272,Government of Serbia (Yugoslavia) - Republic of Croatia,1
827,2,Government of Algeria - Takfir wa'l Hijra,1
828,1,Government of Algeria - AIS,1
829,3,Government of Algeria - GIA,1
830,4,Government of Algeria - AQIM,1
831,191,Government of Angola - FLEC-R,1
832,190,Government of Angola - FLEC-FAC,1
833,361,Government of Azerbaijan - Republic of Nagorno-Karabakh,1
834,300,Government of Bosnia-Herzegovina - Serbian irregulars,1
835,292,Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina,1
836,291,Government of Croatia - Serbian irregulars,1
837,303,Government of Croatia - Serbian Republic of Krajina,1
838,241,Government of Egypt - al-Gama'a al-Islamiyya,1
839,259,Government of Georgia - Republic of Abkhazia,1
840,297,Government of Georgia - Republic of South Ossetia,1
841,367,Government of Moldova - PMR,1
842,353,Government of Tajikistan - UTO,1
843,415,Government of Tajikistan - Forces of Khudoberdiyev,1
844,362,Government of Azerbaijan - Military faction (forces of Suret Husseinov),1
845,407,Government of Azerbaijan - OPON Forces,1
846,294,Government of Bosnia-Herzegovina - Autonomous Province of Western Bosnia,1
847,301,Government of Bosnia-Herzegovina - Croatian irregulars,1
848,293,Government of Bosnia-Herzegovina - Croatian Republic of Bosnia-Herzegovina,1
849,350,Government of Russia (Soviet Union) - Parliamentary Forces,1
850,230,Government of Mexico - EZLN,1
851,299,Government of Mexico - EPR,1
852,348,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,1
853,375,Government of Yemen (North Yemen) - Democratic Republic of Yemen,1
854,227,Government of Ecuador - Government of Peru,1
855,340,Government of Pakistan - MQM,1
856,721,Government of Pakistan - TNSM,1
857,768,Government of Pakistan - TTP,1
858,16,Government of Cameroon - Government of Nigeria,1
859,113,Government of Niger - FDR,1
860,35,Government of Comoros - MPA/Republic of Anjouan,1
861,36,Government of Congo - Ninjas,1
862,189,Government of Congo - Cobras,1
863,37,Government of Congo - Cocoyes,1
864,38,Government of Congo - Ntsiloulous,1
865,45,Government of Eritrea - Government of Ethiopia,1
866,58,"Government of Guinea-Bissau - Military Junta for the Consolidation of Democracy, Peace and Justice",1
867,92,Government of Lesotho - Military faction,1
868,295,Government of Serbia (Yugoslavia) - UCK,1
869,55,Government of Ethiopia - OLF,1
870,368,Government of Russia (Soviet Union) - Wahhabi movement of the Buinaksk district,1
871,363,Government of Uzbekistan - IMU,1
872,444,Government of Uzbekistan - JIG,1
873,17,Government of Central African Republic - Military faction (forces of Andr Kolingba),1
874,287,Government of Central African Republic - Forces of Francois Bozize,1
875,628,Government of Central African Republic - UFDR,1
876,782,Government of Central African Republic - CPJP,1
877,341,"Government of Macedonia, FYR - UCK",1
878,360,Government of United States of America - al-Qaida,1
879,89,Government of Ivory Coast - MPCI,1
880,91,Government of Ivory Coast - MPIGO,1
881,245,Government of Ivory Coast - MJP,1
882,439,Government of Ivory Coast - FRCI,1
883,332,"Government of Australia, Government of United Kingdom, Government of United States of America - Government of Iraq",1
884,309,Government of India - ABSU,1
885,313,Government of India - NDFB,1
886,785,Government of India - NDFB - RD,1
887,321,Government of Myanmar (Burma) - UWSA,1
888,472,Government of Thailand - Patani insurgents,1
889,446,Government of Nigeria - Ahlul Sunnah Jamaa,1
890,473,Government of Nigeria - NDPVF,1
891,643,Government of Israel - Hezbollah,1
892,741,Government of Tanzania - Government of Uganda,1
893,745,Government of Mauritania - POLISARIO,1
894,651,Government of DR Congo (Zaire) - BDK,1
895,761,Government of Niger - FLAA,1
896,762,Government of Niger - UFRA,1
897,749,Government of Niger - MNJ,1
898,758,Government of Afghanistan - Government of Russia (Soviet Union),1
899,773,Government of Russia (Soviet Union) - Forces of the Caucasus Emirate,1
900,765,Government of India - DHD - BW,1
901,772,Government of India - PULF,1
902,776,Government of Djibouti - Government of Eritrea,1
903,796,Government of Ethiopia - SALF,1
904,791,Government of Ethiopia - SLM,1
905,788,Government of India - KNF,1
906,798,Government of Myanmar (Burma) - MNDAA,1
907,797,Government of Myanmar (Burma) - LNUP,1
908,809,Government of Tajikistan - IMU,1
909,806,Government of Mauritania - AQIM,1
910,2,Government of United States of America - Civilians,3
911,41,Government of Haiti - Civilians,3
912,90,Government of Guatemala - Civilians,3
913,100,Government of Colombia - Civilians,3
914,101,Government of Venezuela - Civilians,3
915,140,Government of Brazil - Civilians,3
916,344,Government of Croatia - Civilians,3
917,345,Government of Serbia (Yugoslavia) - Civilians,3
918,346,Government of Bosnia-Herzegovina - Civilians,3
919,360,Government of Rumania - Civilians,3
920,365,Government of Russia (Soviet Union) - Civilians,3
921,432,Government of Mali - Civilians,3
922,433,Government of Senegal - Civilians,3
923,436,Government of Niger - Civilians,3
924,437,Government of Ivory Coast - Civilians,3
925,438,Government of Guinea - Civilians,3
926,450,Government of Liberia - Civilians,3
927,451,Government of Sierra Leone - Civilians,3
928,461,Government of Togo - Civilians,3
929,471,Government of Cameroon - Civilians,3
930,475,Government of Nigeria - Civilians,3
931,482,Government of Central African Republic - Civilians,3
932,483,Government of Chad - Civilians,3
933,484,Government of Congo - Civilians,3
934,490,Government of DR Congo (Zaire) - Civilians,3
935,500,Government of Uganda - Civilians,3
936,501,Government of Kenya - Civilians,3
937,510,Government of Tanzania - Civilians,3
938,516,Government of Burundi - Civilians,3
939,517,Government of Rwanda - Civilians,3
940,520,Government of Somalia - Civilians,3
941,530,Government of Ethiopia - Civilians,3
942,540,Government of Angola - Civilians,3
943,552,Government of Zimbabwe (Rhodesia) - Civilians,3
944,560,Government of South Africa - Civilians,3
945,580,Government of Madagascar - Civilians,3
946,620,Government of Libya - Civilians,3
947,625,Government of Sudan - Civilians,3
948,645,Government of Iraq - Civilians,3
949,651,Government of Egypt - Civilians,3
950,666,Government of Israel - Civilians,3
951,700,Government of Afghanistan - Civilians,3
952,702,Government of Tajikistan - Civilians,3
953,710,Government of China - Civilians,3
954,750,Government of India - Civilians,3
955,775,Government of Myanmar (Burma) - Civilians,3
956,780,Government of Sri Lanka - Civilians,3
957,790,Government of Nepal - Civilians,3
958,800,Government of Thailand - Civilians,3
959,812,Government of Laos - Civilians,3
960,850,Government of Indonesia - Civilians,3
961,910,Government of Papua New Guinea - Civilians,3
962,1010,CPP - Civilians,3
963,1021,KNU - Civilians,3
964,1035,PWG - Civilians,3
965,1036,MCC - Civilians,3
966,1037,CPI-Maoist - Civilians,3
967,1050,PIJ - Civilians,3
968,1051,Hamas - Civilians,3
969,1053,AMB - Civilians,3
970,1065,NSCN-IM - Civilians,3
972,1075,Ansar al-Islam - Civilians,3
973,1076,IS - Civilians,3
974,1100,CPN-M - Civilians,3
975,1112,KR - Civilians,3
976,1118,MILF - Civilians,3
977,1119,ASG - Civilians,3
978,1123,JVP - Civilians,3
979,1127,JSS/SB - Civilians,3
980,1129,BLA - Civilians,3
981,1146,Taleban - Civilians,3
982,1147,UIFSA - Civilians,3
983,1149,ATTF - Civilians,3
984,1150,NLFT - Civilians,3
985,1153,Jondullah - Civilians,3
986,1162,Sikh insurgents - Civilians,3
987,1163,LTTE - Civilians,3
988,1166,PKK - Civilians,3
989,1168,Kashmir insurgents - Civilians,3
990,1169,ULFA - Civilians,3
991,1170,GAM - Civilians,3
992,1181,Republic of Nagorno-Karabakh - Civilians,3
993,1184,al-Gama'a al-Islamiyya - Civilians,3
994,1185,Republic of Abkhazia - Civilians,3
995,1193,Croatian Republic of Bosnia-Herzegovina - Civilians,3
996,1195,Chechen Republic of Ichkeria - Civilians,3
997,1199,TTP - Civilians,3
998,1206,NDFB - Civilians,3
999,1208,Patani insurgents - Civilians,3
1000,1210,Forces of the Caucasus Emirate - Civilians,3
1001,1211,DHD - BW - Civilians,3
1002,1216,BLTF - Civilians,3
1003,1225,Gazotan Murdash - Civilians,3
1004,1226,GICM - Civilians,3
1005,1228,Jamaat Jund al-Sahaba - Civilians,3
1006,1229,Jemaah Islamiya - Civilians,3
1007,1232,LeJ - Civilians,3
1008,1236,Ranvir Sena - Civilians,3
1009,1237,Salafia Jihadia - Civilians,3
1010,1238,SIMI - Civilians,3
1011,1239,Tawhid wal Jihad - Civilians,3
1012,1240,UPDS - Civilians,3
1013,1241,VHP - Civilians,3
1014,1268,AFDL - Civilians,3
1015,1270,RCD - Civilians,3
1016,1271,RCD-ML  - Civilians,3
