"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value","Flag and Footnotes"
"2007","United Kingdom","Total","From 15 to 74 years","Total","Percentage","5.3","b"
"2007","Iceland","Total","From 15 to 74 years","Total","Percentage","2.3",""
"2007","Norway","Total","From 15 to 74 years","Total","Percentage","2.5",""
"2007","Switzerland","Total","From 15 to 74 years","Total","Percentage","3.7",""
"2007","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 74 years","Total","Percentage","35.0",""
"2007","Turkey","Total","From 15 to 74 years","Total","Percentage","8.9",""
"2008","European Union (28 countries)","Total","From 15 to 74 years","Total","Percentage","7.0",""
"2008","European Union (27 countries)","Total","From 15 to 74 years","Total","Percentage","7.0",""
"2008","European Union (15 countries)","Total","From 15 to 74 years","Total","Percentage","7.1",""
"2008","Euro area (19 countries)","Total","From 15 to 74 years","Total","Percentage","7.5",""
"2008","Euro area (18 countries)","Total","From 15 to 74 years","Total","Percentage","7.5",""
"2008","Euro area (17 countries)","Total","From 15 to 74 years","Total","Percentage","7.5",""
"2008","Belgium","Total","From 15 to 74 years","Total","Percentage","7.0",""
"2008","Bulgaria","Total","From 15 to 74 years","Total","Percentage","5.6","b"
"2008","Czech Republic","Total","From 15 to 74 years","Total","Percentage","4.4",""
"2008","Denmark","Total","From 15 to 74 years","Total","Percentage","3.4",""
"2008","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","Total","Percentage","7.5",""
"2008","Estonia","Total","From 15 to 74 years","Total","Percentage","5.5",""
"2008","Ireland","Total","From 15 to 74 years","Total","Percentage","6.4",""
"2008","Greece","Total","From 15 to 74 years","Total","Percentage","7.8",""
"2008","Spain","Total","From 15 to 74 years","Total","Percentage","11.3",""
"2008","France","Total","From 15 to 74 years","Total","Percentage","7.1",""
"2008","Croatia","Total","From 15 to 74 years","Total","Percentage","8.6",""
"2008","Italy","Total","From 15 to 74 years","Total","Percentage","6.7",""
"2008","Cyprus","Total","From 15 to 74 years","Total","Percentage","3.7",""
"2008","Latvia","Total","From 15 to 74 years","Total","Percentage","7.7",""
"2008","Lithuania","Total","From 15 to 74 years","Total","Percentage","5.8",""
"2008","Luxembourg","Total","From 15 to 74 years","Total","Percentage","5.1",""
"2008","Hungary","Total","From 15 to 74 years","Total","Percentage","7.8",""
"2008","Malta","Total","From 15 to 74 years","Total","Percentage","6.0",""
"2008","Netherlands","Total","From 15 to 74 years","Total","Percentage","2.8",""
"2008","Austria","Total","From 15 to 74 years","Total","Percentage","4.1",""
"2008","Poland","Total","From 15 to 74 years","Total","Percentage","7.1",""
"2008","Portugal","Total","From 15 to 74 years","Total","Percentage","7.7",""
"2008","Romania","Total","From 15 to 74 years","Total","Percentage","5.8",""
"2008","Slovenia","Total","From 15 to 74 years","Total","Percentage","4.4",""
"2008","Slovakia","Total","From 15 to 74 years","Total","Percentage","9.5",""
"2008","Finland","Total","From 15 to 74 years","Total","Percentage","6.4","b"
"2008","Sweden","Total","From 15 to 74 years","Total","Percentage","6.2",""
"2008","United Kingdom","Total","From 15 to 74 years","Total","Percentage","5.6","b"
"2008","Iceland","Total","From 15 to 74 years","Total","Percentage","2.9",""
"2008","Norway","Total","From 15 to 74 years","Total","Percentage","2.5",""
"2008","Switzerland","Total","From 15 to 74 years","Total","Percentage","3.4",""
"2008","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 74 years","Total","Percentage","33.8",""
"2008","Turkey","Total","From 15 to 74 years","Total","Percentage","9.8",""
"2009","European Union (28 countries)","Total","From 15 to 74 years","Total","Percentage","8.9",""
"2009","European Union (27 countries)","Total","From 15 to 74 years","Total","Percentage","8.9",""
"2009","European Union (15 countries)","Total","From 15 to 74 years","Total","Percentage","9.0",""
"2009","Euro area (19 countries)","Total","From 15 to 74 years","Total","Percentage","9.5",""
"2009","Euro area (18 countries)","Total","From 15 to 74 years","Total","Percentage","9.5",""
"2009","Euro area (17 countries)","Total","From 15 to 74 years","Total","Percentage","9.4",""
"2009","Belgium","Total","From 15 to 74 years","Total","Percentage","7.9",""
"2009","Bulgaria","Total","From 15 to 74 years","Total","Percentage","6.8",""
"2009","Czech Republic","Total","From 15 to 74 years","Total","Percentage","6.7",""
"2009","Denmark","Total","From 15 to 74 years","Total","Percentage","6.0",""
"2009","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","Total","Percentage","7.8",""
"2009","Estonia","Total","From 15 to 74 years","Total","Percentage","13.5",""
"2009","Ireland","Total","From 15 to 74 years","Total","Percentage","12.0","b"
"2009","Greece","Total","From 15 to 74 years","Total","Percentage","9.6","b"
"2009","Spain","Total","From 15 to 74 years","Total","Percentage","17.9",""
"2009","France","Total","From 15 to 74 years","Total","Percentage","8.7",""
"2009","Croatia","Total","From 15 to 74 years","Total","Percentage","9.2",""
"2009","Italy","Total","From 15 to 74 years","Total","Percentage","7.8",""
"2009","Cyprus","Total","From 15 to 74 years","Total","Percentage","5.4","b"
"2009","Latvia","Total","From 15 to 74 years","Total","Percentage","17.5",""
"2009","Lithuania","Total","From 15 to 74 years","Total","Percentage","13.8",""
"2009","Luxembourg","Total","From 15 to 74 years","Total","Percentage","5.1","b"
"2009","Hungary","Total","From 15 to 74 years","Total","Percentage","10.0",""
"2009","Malta","Total","From 15 to 74 years","Total","Percentage","6.9",""
"2009","Netherlands","Total","From 15 to 74 years","Total","Percentage","3.4",""
"2009","Austria","Total","From 15 to 74 years","Total","Percentage","5.3",""
"2009","Poland","Total","From 15 to 74 years","Total","Percentage","8.2",""
"2009","Portugal","Total","From 15 to 74 years","Total","Percentage","9.6",""
"2009","Romania","Total","From 15 to 74 years","Total","Percentage","6.9",""
"2009","Slovenia","Total","From 15 to 74 years","Total","Percentage","5.9",""
"2009","Slovakia","Total","From 15 to 74 years","Total","Percentage","12.0",""
"2009","Finland","Total","From 15 to 74 years","Total","Percentage","8.2",""
"2009","Sweden","Total","From 15 to 74 years","Total","Percentage","8.4",""
"2009","United Kingdom","Total","From 15 to 74 years","Total","Percentage","7.6",""
"2009","Iceland","Total","From 15 to 74 years","Total","Percentage","7.2",""
"2009","Norway","Total","From 15 to 74 years","Total","Percentage","3.1",""
"2009","Switzerland","Total","From 15 to 74 years","Total","Percentage","4.1",""
"2009","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 74 years","Total","Percentage","32.2",""
"2009","Turkey","Total","From 15 to 74 years","Total","Percentage","12.6",""
"2010","European Union (28 countries)","Total","From 15 to 74 years","Total","Percentage","9.5",""
"2010","European Union (27 countries)","Total","From 15 to 74 years","Total","Percentage","9.5",""
"2010","European Union (15 countries)","Total","From 15 to 74 years","Total","Percentage","9.5",""
"2010","Euro area (19 countries)","Total","From 15 to 74 years","Total","Percentage","10.1",""
"2010","Euro area (18 countries)","Total","From 15 to 74 years","Total","Percentage","10.0",""
"2010","Euro area (17 countries)","Total","From 15 to 74 years","Total","Percentage","9.9",""
"2010","Belgium","Total","From 15 to 74 years","Total","Percentage","8.3",""
"2010","Bulgaria","Total","From 15 to 74 years","Total","Percentage","10.3","b"
"2010","Czech Republic","Total","From 15 to 74 years","Total","Percentage","7.3",""
"2010","Denmark","Total","From 15 to 74 years","Total","Percentage","7.5",""
"2010","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","Total","Percentage","7.0","b"
"2010","Estonia","Total","From 15 to 74 years","Total","Percentage","16.7",""
"2010","Ireland","Total","From 15 to 74 years","Total","Percentage","13.9",""
"2010","Greece","Total","From 15 to 74 years","Total","Percentage","12.7",""
"2010","Spain","Total","From 15 to 74 years","Total","Percentage","19.9",""
"2010","France","Total","From 15 to 74 years","Total","Percentage","8.9",""
"2010","Croatia","Total","From 15 to 74 years","Total","Percentage","11.7",""
"2010","Italy","Total","From 15 to 74 years","Total","Percentage","8.4",""
"2010","Cyprus","Total","From 15 to 74 years","Total","Percentage","6.3",""
"2010","Latvia","Total","From 15 to 74 years","Total","Percentage","19.5",""
"2010","Lithuania","Total","From 15 to 74 years","Total","Percentage","17.8",""
"2010","Luxembourg","Total","From 15 to 74 years","Total","Percentage","4.4",""
"2010","Hungary","Total","From 15 to 74 years","Total","Percentage","11.2",""
"2010","Malta","Total","From 15 to 74 years","Total","Percentage","6.9",""
"2010","Netherlands","Total","From 15 to 74 years","Total","Percentage","4.5","b"
"2010","Austria","Total","From 15 to 74 years","Total","Percentage","4.8",""
"2010","Poland","Total","From 15 to 74 years","Total","Percentage","9.7","b"
"2010","Portugal","Total","From 15 to 74 years","Total","Percentage","11.0",""
"2010","Romania","Total","From 15 to 74 years","Total","Percentage","7.0","b"
"2010","Slovenia","Total","From 15 to 74 years","Total","Percentage","7.3",""
"2010","Slovakia","Total","From 15 to 74 years","Total","Percentage","14.4",""
"2010","Finland","Total","From 15 to 74 years","Total","Percentage","8.4",""
"2010","Sweden","Total","From 15 to 74 years","Total","Percentage","8.6",""
"2010","United Kingdom","Total","From 15 to 74 years","Total","Percentage","7.8",""
"2010","Iceland","Total","From 15 to 74 years","Total","Percentage","7.6",""
"2010","Norway","Total","From 15 to 74 years","Total","Percentage","3.5",""
"2010","Switzerland","Total","From 15 to 74 years","Total","Percentage","4.8","b"
"2010","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 74 years","Total","Percentage","32.0",""
"2010","Turkey","Total","From 15 to 74 years","Total","Percentage","10.7",""
"2011","European Union (28 countries)","Total","From 15 to 74 years","Total","Percentage","9.6",""
"2011","European Union (27 countries)","Total","From 15 to 74 years","Total","Percentage","9.6",""
"2011","European Union (15 countries)","Total","From 15 to 74 years","Total","Percentage","9.6",""
"2011","Euro area (19 countries)","Total","From 15 to 74 years","Total","Percentage","10.1",""
"2011","Euro area (18 countries)","Total","From 15 to 74 years","Total","Percentage","10.1",""
"2011","Euro area (17 countries)","Total","From 15 to 74 years","Total","Percentage","10.0",""
"2011","Belgium","Total","From 15 to 74 years","Total","Percentage","7.2","b"
"2011","Bulgaria","Total","From 15 to 74 years","Total","Percentage","11.3","b"
"2011","Czech Republic","Total","From 15 to 74 years","Total","Percentage","6.7","b"
"2011","Denmark","Total","From 15 to 74 years","Total","Percentage","7.6",""
"2011","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","Total","Percentage","5.8","b"
"2011","Estonia","Total","From 15 to 74 years","Total","Percentage","12.3",""
"2011","Ireland","Total","From 15 to 74 years","Total","Percentage","14.7",""
"2011","Greece","Total","From 15 to 74 years","Total","Percentage","17.9",""
"2011","Spain","Total","From 15 to 74 years","Total","Percentage","21.4",""
"2011","France","Total","From 15 to 74 years","Total","Percentage","8.8",""
"2011","Croatia","Total","From 15 to 74 years","Total","Percentage","13.7",""
"2011","Italy","Total","From 15 to 74 years","Total","Percentage","8.4",""
"2011","Cyprus","Total","From 15 to 74 years","Total","Percentage","7.9",""
"2011","Latvia","Total","From 15 to 74 years","Total","Percentage","16.2",""
"2011","Lithuania","Total","From 15 to 74 years","Total","Percentage","15.4",""
"2011","Luxembourg","Total","From 15 to 74 years","Total","Percentage","4.9",""
"2011","Hungary","Total","From 15 to 74 years","Total","Percentage","11.0",""
"2011","Malta","Total","From 15 to 74 years","Total","Percentage","6.4",""
"2011","Netherlands","Total","From 15 to 74 years","Total","Percentage","5.0","b"
"2011","Austria","Total","From 15 to 74 years","Total","Percentage","4.6",""
"2011","Poland","Total","From 15 to 74 years","Total","Percentage","9.7",""
"2011","Portugal","Total","From 15 to 74 years","Total","Percentage","12.9","b"
"2011","Romania","Total","From 15 to 74 years","Total","Percentage","7.2",""
"2011","Slovenia","Total","From 15 to 74 years","Total","Percentage","8.2",""
"2011","Slovakia","Total","From 15 to 74 years","Total","Percentage","13.6","b"
"2011","Finland","Total","From 15 to 74 years","Total","Percentage","7.8",""
"2011","Sweden","Total","From 15 to 74 years","Total","Percentage","7.8",""
"2011","United Kingdom","Total","From 15 to 74 years","Total","Percentage","8.1",""
"2011","Iceland","Total","From 15 to 74 years","Total","Percentage","7.0",""
"2011","Norway","Total","From 15 to 74 years","Total","Percentage","3.2",""
"2011","Switzerland","Total","From 15 to 74 years","Total","Percentage","4.4",""
"2011","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 74 years","Total","Percentage","31.4",""
"2011","Turkey","Total","From 15 to 74 years","Total","Percentage","8.8",""
"2012","European Union (28 countries)","Total","From 15 to 74 years","Total","Percentage","10.4",""
"2012","European Union (27 countries)","Total","From 15 to 74 years","Total","Percentage","10.4",""
"2012","European Union (15 countries)","Total","From 15 to 74 years","Total","Percentage","10.6",""
"2012","Euro area (19 countries)","Total","From 15 to 74 years","Total","Percentage","11.3",""
"2012","Euro area (18 countries)","Total","From 15 to 74 years","Total","Percentage","11.3",""
"2012","Euro area (17 countries)","Total","From 15 to 74 years","Total","Percentage","11.3",""
"2012","Belgium","Total","From 15 to 74 years","Total","Percentage","7.6",""
"2012","Bulgaria","Total","From 15 to 74 years","Total","Percentage","12.3",""
"2012","Czech Republic","Total","From 15 to 74 years","Total","Percentage","7.0",""
"2012","Denmark","Total","From 15 to 74 years","Total","Percentage","7.5",""
"2012","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","Total","Percentage","5.4",""
"2012","Estonia","Total","From 15 to 74 years","Total","Percentage","10.0",""
"2012","Ireland","Total","From 15 to 74 years","Total","Percentage","14.7",""
"2012","Greece","Total","From 15 to 74 years","Total","Percentage","24.5",""
"2012","Spain","Total","From 15 to 74 years","Total","Percentage","24.8",""
"2012","France","Total","From 15 to 74 years","Total","Percentage","9.4",""
"2012","Croatia","Total","From 15 to 74 years","Total","Percentage","16.0",""
"2012","Italy","Total","From 15 to 74 years","Total","Percentage","10.7",""
"2012","Cyprus","Total","From 15 to 74 years","Total","Percentage","11.9",""
"2012","Latvia","Total","From 15 to 74 years","Total","Percentage","15.0",""
"2012","Lithuania","Total","From 15 to 74 years","Total","Percentage","13.4",""
"2012","Luxembourg","Total","From 15 to 74 years","Total","Percentage","5.1",""
"2012","Hungary","Total","From 15 to 74 years","Total","Percentage","11.0",""
"2012","Malta","Total","From 15 to 74 years","Total","Percentage","6.3",""
"2012","Netherlands","Total","From 15 to 74 years","Total","Percentage","5.8",""
"2012","Austria","Total","From 15 to 74 years","Total","Percentage","4.9",""
"2012","Poland","Total","From 15 to 74 years","Total","Percentage","10.1",""
"2012","Portugal","Total","From 15 to 74 years","Total","Percentage","15.8",""
"2012","Romania","Total","From 15 to 74 years","Total","Percentage","6.8",""
"2012","Slovenia","Total","From 15 to 74 years","Total","Percentage","8.9",""
"2012","Slovakia","Total","From 15 to 74 years","Total","Percentage","14.0",""
"2012","Finland","Total","From 15 to 74 years","Total","Percentage","7.7",""
"2012","Sweden","Total","From 15 to 74 years","Total","Percentage","8.0",""
"2012","United Kingdom","Total","From 15 to 74 years","Total","Percentage","7.9",""
"2012","Iceland","Total","From 15 to 74 years","Total","Percentage","6.0",""
"2012","Norway","Total","From 15 to 74 years","Total","Percentage","3.1",""
"2012","Switzerland","Total","From 15 to 74 years","Total","Percentage","4.5",""
"2012","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 74 years","Total","Percentage","31.0",""
"2012","Turkey","Total","From 15 to 74 years","Total","Percentage","8.2",""
"2013","European Union (28 countries)","Total","From 15 to 74 years","Total","Percentage","10.8",""
"2013","European Union (27 countries)","Total","From 15 to 74 years","Total","Percentage","10.8",""
"2013","European Union (15 countries)","Total","From 15 to 74 years","Total","Percentage","11.0",""
"2013","Euro area (19 countries)","Total","From 15 to 74 years","Total","Percentage","12.0",""
"2013","Euro area (18 countries)","Total","From 15 to 74 years","Total","Percentage","12.0",""
"2013","Euro area (17 countries)","Total","From 15 to 74 years","Total","Percentage","12.0",""
"2013","Belgium","Total","From 15 to 74 years","Total","Percentage","8.4",""
"2013","Bulgaria","Total","From 15 to 74 years","Total","Percentage","13.0",""
"2013","Czech Republic","Total","From 15 to 74 years","Total","Percentage","7.0",""
"2013","Denmark","Total","From 15 to 74 years","Total","Percentage","7.0",""
"2013","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","Total","Percentage","5.2",""
"2013","Estonia","Total","From 15 to 74 years","Total","Percentage","8.6",""
"2013","Ireland","Total","From 15 to 74 years","Total","Percentage","13.1",""
"2013","Greece","Total","From 15 to 74 years","Total","Percentage","27.5",""
"2013","Spain","Total","From 15 to 74 years","Total","Percentage","26.1",""
"2013","France","Total","From 15 to 74 years","Total","Percentage","9.9",""
"2013","Croatia","Total","From 15 to 74 years","Total","Percentage","17.3",""
"2013","Italy","Total","From 15 to 74 years","Total","Percentage","12.2",""
"2013","Cyprus","Total","From 15 to 74 years","Total","Percentage","15.9",""
"2013","Latvia","Total","From 15 to 74 years","Total","Percentage","11.9",""
"2013","Lithuania","Total","From 15 to 74 years","Total","Percentage","11.8",""
"2013","Luxembourg","Total","From 15 to 74 years","Total","Percentage","5.9",""
"2013","Hungary","Total","From 15 to 74 years","Total","Percentage","10.2",""
"2013","Malta","Total","From 15 to 74 years","Total","Percentage","6.4",""
"2013","Netherlands","Total","From 15 to 74 years","Total","Percentage","7.3",""
"2013","Austria","Total","From 15 to 74 years","Total","Percentage","5.4",""
"2013","Poland","Total","From 15 to 74 years","Total","Percentage","10.3",""
"2013","Portugal","Total","From 15 to 74 years","Total","Percentage","16.4",""
"2013","Romania","Total","From 15 to 74 years","Total","Percentage","7.1",""
"2013","Slovenia","Total","From 15 to 74 years","Total","Percentage","10.1",""
"2013","Slovakia","Total","From 15 to 74 years","Total","Percentage","14.2",""
"2013","Finland","Total","From 15 to 74 years","Total","Percentage","8.2",""
"2013","Sweden","Total","From 15 to 74 years","Total","Percentage","8.1",""
"2013","United Kingdom","Total","From 15 to 74 years","Total","Percentage","7.5",""
"2013","Iceland","Total","From 15 to 74 years","Total","Percentage","5.4",""
"2013","Norway","Total","From 15 to 74 years","Total","Percentage","3.4",""
"2013","Switzerland","Total","From 15 to 74 years","Total","Percentage","4.8",""
"2013","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 74 years","Total","Percentage","29.0",""
"2013","Turkey","Total","From 15 to 74 years","Total","Percentage","8.8",""
"2014","European Union (28 countries)","Total","From 15 to 74 years","Total","Percentage","10.2",""
"2014","European Union (27 countries)","Total","From 15 to 74 years","Total","Percentage","10.2",""
"2014","European Union (15 countries)","Total","From 15 to 74 years","Total","Percentage","10.5",""
"2014","Euro area (19 countries)","Total","From 15 to 74 years","Total","Percentage","11.6",""
"2014","Euro area (18 countries)","Total","From 15 to 74 years","Total","Percentage","11.6",""
"2014","Euro area (17 countries)","Total","From 15 to 74 years","Total","Percentage","11.6",""
"2014","Belgium","Total","From 15 to 74 years","Total","Percentage","8.5",""
"2014","Bulgaria","Total","From 15 to 74 years","Total","Percentage","11.4",""
"2014","Czech Republic","Total","From 15 to 74 years","Total","Percentage","6.1",""
"2014","Denmark","Total","From 15 to 74 years","Total","Percentage","6.6",""
"2014","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","Total","Percentage","5.0",""
"2014","Estonia","Total","From 15 to 74 years","Total","Percentage","7.4",""
"2014","Ireland","Total","From 15 to 74 years","Total","Percentage","11.3",""
"2014","Greece","Total","From 15 to 74 years","Total","Percentage","26.5",""
"2014","Spain","Total","From 15 to 74 years","Total","Percentage","24.5",""
"2014","France","Total","From 15 to 74 years","Total","Percentage","10.3","b"
"2014","Croatia","Total","From 15 to 74 years","Total","Percentage","17.3",""
"2014","Italy","Total","From 15 to 74 years","Total","Percentage","12.7",""
"2014","Cyprus","Total","From 15 to 74 years","Total","Percentage","16.1",""
"2014","Latvia","Total","From 15 to 74 years","Total","Percentage","10.8",""
"2014","Lithuania","Total","From 15 to 74 years","Total","Percentage","10.7",""
"2014","Luxembourg","Total","From 15 to 74 years","Total","Percentage","5.9",""
"2014","Hungary","Total","From 15 to 74 years","Total","Percentage","7.7",""
"2014","Malta","Total","From 15 to 74 years","Total","Percentage","5.8",""
"2014","Netherlands","Total","From 15 to 74 years","Total","Percentage","7.4",""
"2014","Austria","Total","From 15 to 74 years","Total","Percentage","5.6",""
"2014","Poland","Total","From 15 to 74 years","Total","Percentage","9.0",""
"2014","Portugal","Total","From 15 to 74 years","Total","Percentage","14.1",""
"2014","Romania","Total","From 15 to 74 years","Total","Percentage","6.8",""
"2014","Slovenia","Total","From 15 to 74 years","Total","Percentage","9.7",""
"2014","Slovakia","Total","From 15 to 74 years","Total","Percentage","13.2",""
"2014","Finland","Total","From 15 to 74 years","Total","Percentage","8.7",""
"2014","Sweden","Total","From 15 to 74 years","Total","Percentage","8.0",""
"2014","United Kingdom","Total","From 15 to 74 years","Total","Percentage","6.1",""
"2014","Iceland","Total","From 15 to 74 years","Total","Percentage","4.9",""
"2014","Norway","Total","From 15 to 74 years","Total","Percentage","3.5",""
"2014","Switzerland","Total","From 15 to 74 years","Total","Percentage","4.9",""
"2014","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 74 years","Total","Percentage","28.0",""
"2014","Turkey","Total","From 15 to 74 years","Total","Percentage","9.9","b"
"2015","European Union (28 countries)","Total","From 15 to 74 years","Total","Percentage","9.4",""
"2015","European Union (27 countries)","Total","From 15 to 74 years","Total","Percentage","9.4",""
"2015","European Union (15 countries)","Total","From 15 to 74 years","Total","Percentage","9.8",""
"2015","Euro area (19 countries)","Total","From 15 to 74 years","Total","Percentage","10.9",""
"2015","Euro area (18 countries)","Total","From 15 to 74 years","Total","Percentage","10.9",""
"2015","Euro area (17 countries)","Total","From 15 to 74 years","Total","Percentage","10.9",""
"2015","Belgium","Total","From 15 to 74 years","Total","Percentage","8.5",""
"2015","Bulgaria","Total","From 15 to 74 years","Total","Percentage","9.2",""
"2015","Czech Republic","Total","From 15 to 74 years","Total","Percentage","5.1",""
"2015","Denmark","Total","From 15 to 74 years","Total","Percentage","6.2",""
"2015","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","Total","Percentage","4.6",""
"2015","Estonia","Total","From 15 to 74 years","Total","Percentage","6.2",""
"2015","Ireland","Total","From 15 to 74 years","Total","Percentage","9.4",""
"2015","Greece","Total","From 15 to 74 years","Total","Percentage","24.9",""
"2015","Spain","Total","From 15 to 74 years","Total","Percentage","22.1",""
"2015","France","Total","From 15 to 74 years","Total","Percentage","10.4",""
"2015","Croatia","Total","From 15 to 74 years","Total","Percentage","16.2",""
"2015","Italy","Total","From 15 to 74 years","Total","Percentage","11.9",""
"2015","Cyprus","Total","From 15 to 74 years","Total","Percentage","15.0",""
"2015","Latvia","Total","From 15 to 74 years","Total","Percentage","9.9",""
"2015","Lithuania","Total","From 15 to 74 years","Total","Percentage","9.1",""
"2015","Luxembourg","Total","From 15 to 74 years","Total","Percentage","6.7","b"
"2015","Hungary","Total","From 15 to 74 years","Total","Percentage","6.8",""
"2015","Malta","Total","From 15 to 74 years","Total","Percentage","5.4",""
"2015","Netherlands","Total","From 15 to 74 years","Total","Percentage","6.9",""
"2015","Austria","Total","From 15 to 74 years","Total","Percentage","5.7",""
"2015","Poland","Total","From 15 to 74 years","Total","Percentage","7.5",""
"2015","Portugal","Total","From 15 to 74 years","Total","Percentage","12.6",""
"2015","Romania","Total","From 15 to 74 years","Total","Percentage","6.8",""
"2015","Slovenia","Total","From 15 to 74 years","Total","Percentage","9.0",""
"2015","Slovakia","Total","From 15 to 74 years","Total","Percentage","11.5",""
"2015","Finland","Total","From 15 to 74 years","Total","Percentage","9.4",""
"2015","Sweden","Total","From 15 to 74 years","Total","Percentage","7.4",""
"2015","United Kingdom","Total","From 15 to 74 years","Total","Percentage","5.3",""
"2015","Iceland","Total","From 15 to 74 years","Total","Percentage","4.0",""
"2015","Norway","Total","From 15 to 74 years","Total","Percentage","4.3",""
"2015","Switzerland","Total","From 15 to 74 years","Total","Percentage","4.8",""
"2015","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 74 years","Total","Percentage","26.1",""
"2015","Turkey","Total","From 15 to 74 years","Total","Percentage","10.3",""
"2016","European Union (28 countries)","Total","From 15 to 74 years","Total","Percentage","8.6",""
"2016","European Union (27 countries)","Total","From 15 to 74 years","Total","Percentage","8.5",""
"2016","European Union (15 countries)","Total","From 15 to 74 years","Total","Percentage","9.1",""
"2016","Euro area (19 countries)","Total","From 15 to 74 years","Total","Percentage","10.0",""
"2016","Euro area (18 countries)","Total","From 15 to 74 years","Total","Percentage","10.1",""
"2016","Euro area (17 countries)","Total","From 15 to 74 years","Total","Percentage","10.1",""
"2016","Belgium","Total","From 15 to 74 years","Total","Percentage","7.8",""
"2016","Bulgaria","Total","From 15 to 74 years","Total","Percentage","7.6",""
"2016","Czech Republic","Total","From 15 to 74 years","Total","Percentage","4.0",""
"2016","Denmark","Total","From 15 to 74 years","Total","Percentage","6.2","b"
"2016","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","Total","Percentage","4.1",""
"2016","Estonia","Total","From 15 to 74 years","Total","Percentage","6.8",""
"2016","Ireland","Total","From 15 to 74 years","Total","Percentage","7.9",""
"2016","Greece","Total","From 15 to 74 years","Total","Percentage","23.6",""
"2016","Spain","Total","From 15 to 74 years","Total","Percentage","19.6",""
"2016","France","Total","From 15 to 74 years","Total","Percentage","10.1",""
"2016","Croatia","Total","From 15 to 74 years","Total","Percentage","13.1",""
